,START,END,variable,value,Signal Type
0,0.0,500.0,Variance,0.0019638061839388574,EMG
1,250.0,750.0,Variance,0.001963875178947792,EMG
2,500.0,1000.0,Variance,0.0017078783125608664,EMG
3,750.0,1250.0,Variance,0.0015813688193469537,EMG
4,1000.0,1500.0,Variance,0.0015886983952795818,EMG
5,1250.0,1750.0,Variance,0.0015461200885787318,EMG
6,1500.0,2000.0,Variance,0.0015753153655242897,EMG
7,1750.0,2250.0,Variance,0.0016519042069190392,EMG
8,2000.0,2500.0,Variance,0.001627604122813322,EMG
9,2250.0,2750.0,Variance,0.001545949542063243,EMG
10,2500.0,3000.0,Variance,0.0015205479623804274,EMG
11,2750.0,3250.0,Variance,0.001533907075416954,EMG
12,3000.0,3500.0,Variance,0.0015335686523407885,EMG
13,3250.0,3750.0,Variance,0.0015435778393121664,EMG
14,3500.0,4000.0,Variance,0.0015623883609602936,EMG
15,3750.0,4250.0,Variance,0.0015352625052995532,EMG
16,4000.0,4500.0,Variance,0.0015146459244070002,EMG
17,4250.0,4750.0,Variance,0.0014921714573655066,EMG
18,4500.0,5000.0,Variance,0.0014683137747172612,EMG
19,4750.0,5250.0,Variance,0.0014529335340291365,EMG
20,5000.0,5500.0,Variance,0.0015065450426763939,EMG
21,5250.0,5750.0,Variance,0.0015181377830571629,EMG
22,5500.0,6000.0,Variance,0.001529697001900556,EMG
23,5750.0,6250.0,Variance,0.0015100486073126385,EMG
24,6000.0,6500.0,Variance,0.0015367614575606185,EMG
25,6250.0,6750.0,Variance,0.0015849563462584462,EMG
26,6500.0,7000.0,Variance,0.0015580866455616104,EMG
27,6750.0,7250.0,Variance,0.0014839815016425167,EMG
28,7000.0,7500.0,Variance,0.0014338312926766485,EMG
29,7250.0,7750.0,Variance,0.001439099208080865,EMG
30,7500.0,8000.0,Variance,0.0014910673790831852,EMG
31,7750.0,8250.0,Variance,0.001560634614888657,EMG
32,8000.0,8500.0,Variance,0.0015681394349594732,EMG
33,8250.0,8750.0,Variance,0.0015327118002773038,EMG
34,8500.0,9000.0,Variance,0.0014794357589730813,EMG
35,8750.0,9250.0,Variance,0.0014783439484298644,EMG
36,9000.0,9500.0,Variance,0.0015116540024552093,EMG
37,9250.0,9750.0,Variance,0.0015075464123262934,EMG
38,9500.0,10000.0,Variance,0.0015154627509864264,EMG
39,9750.0,10250.0,Variance,0.0015422322542325896,EMG
40,10000.0,10500.0,Variance,0.0015606591328877165,EMG
41,10250.0,10750.0,Variance,0.0015304488109844701,EMG
42,10500.0,11000.0,Variance,0.0014947328467071613,EMG
43,10750.0,11250.0,Variance,0.001536298322212792,EMG
44,11000.0,11500.0,Variance,0.0015368995073519322,EMG
45,11250.0,11750.0,Variance,0.0014984945187292494,EMG
46,11500.0,12000.0,Variance,0.0015010045966668162,EMG
47,11750.0,12250.0,Variance,0.0015107155856604318,EMG
48,12000.0,12500.0,Variance,0.0014797532517277772,EMG
49,12250.0,12750.0,Variance,0.0015001052571974708,EMG
50,12500.0,13000.0,Variance,0.0015353396077682844,EMG
51,12750.0,13250.0,Variance,0.0015026452927000063,EMG
52,13000.0,13500.0,Variance,0.0015250029234418082,EMG
53,13250.0,13750.0,Variance,0.0014659647743042652,EMG
54,13500.0,14000.0,Variance,0.00141875216646936,EMG
55,13750.0,14250.0,Variance,0.0015206387827261306,EMG
56,14000.0,14500.0,Variance,0.001527654749597282,EMG
57,14250.0,14750.0,Variance,0.0014895158134528182,EMG
58,14500.0,15000.0,Variance,0.0015815024100938615,EMG
59,14750.0,15250.0,Variance,0.0016312294471245614,EMG
60,15000.0,15500.0,Variance,0.0016144670426186446,EMG
61,15250.0,15750.0,Variance,0.001580033021600457,EMG
62,15500.0,16000.0,Variance,0.0015152322650295214,EMG
63,15750.0,16250.0,Variance,0.0014920502950823541,EMG
64,16000.0,16500.0,Variance,0.0014525063604633617,EMG
65,16250.0,16750.0,Variance,0.0014570264008321072,EMG
66,16500.0,17000.0,Variance,0.0014708862826960823,EMG
67,16750.0,17250.0,Variance,0.0014160344263362437,EMG
68,17000.0,17500.0,Variance,0.0014336499364467918,EMG
69,17250.0,17750.0,Variance,0.0015219686976420234,EMG
70,17500.0,18000.0,Variance,0.0015574247796924922,EMG
71,17750.0,18250.0,Variance,0.0015582687557184334,EMG
72,18000.0,18500.0,Variance,0.0015533026987380547,EMG
73,18250.0,18750.0,Variance,0.0015265294608046295,EMG
74,18500.0,19000.0,Variance,0.0014631491910001425,EMG
75,18750.0,19250.0,Variance,0.0014625616010799105,EMG
76,19000.0,19500.0,Variance,0.0015148058008243313,EMG
77,19250.0,19750.0,Variance,0.001537034223602863,EMG
78,19500.0,20000.0,Variance,0.0015743974613625358,EMG
79,19750.0,20250.0,Variance,0.0015237967396025834,EMG
